subject,condition,task,task_name,n_trials,n_valid_delay,mean_eeg_erd_onset_ms,std_eeg_erd_onset_ms,mean_emg_onset_ms,std_emg_onset_ms,mean_delay_ms,std_delay_ms,mean_xcorr_lag_ms,std_xcorr_lag_ms
11,free,0,Task1,10,10,-16.5,102.66571969260237,87.0,55.776339069537364,103.5,104.21252323977191,68.0,323.59851668386864
11,free,1,Task2,10,10,14.5,145.18006061439704,78.5,36.94928957368463,64.0,161.27306036657208,-69.5,146.10698135270607
11,free,2,Task3,10,10,7.5,115.4826826844614,139.5,44.29729111356585,132.0,136.67845477616433,-43.0,306.1143577161973
13,free,0,Task1,10,9,42.22222222222222,215.3822327232205,163.0,63.25345840347388,108.33333333333333,249.10952522044505,-44.0,177.67667263881322
13,free,1,Task2,10,10,40.0,164.43843832875572,163.0,49.0,123.0,178.38441635972578,49.0,270.8763555572911
13,free,2,Task3,10,9,25.555555555555557,159.3640912509682,161.0,45.760244754590204,137.22222222222223,166.1677718303454,-108.5,296.02406996729167
14,free,0,Task1,9,6,-93.88888888888889,17.284832429004496,273.3333333333333,221.52250951590048,364.1666666666667,212.7090475012497,-111.66666666666667,301.533119610802
14,free,1,Task2,10,5,5.0,80.93207028119323,330.8333333333333,185.61646538554228,297.0,211.43793415562877,-90.0,321.605348214236
14,free,2,Task3,10,4,-30.0,94.13347497628627,243.0,259.9153708421262,213.75,320.3781944827082,72.5,380.0213809774392
15,free,0,Task1,9,8,36.875,185.50501172475097,108.33333333333333,25.05549396395485,71.875,182.550292727785,-23.88888888888889,327.32737416315064
15,free,1,Task2,10,10,-18.0,92.09234495874236,79.5,51.01225342993583,97.5,114.0010964859549,-19.0,243.35981591051552
15,free,2,Task3,10,10,-62.0,51.58488150611572,116.0,58.89821729050889,178.0,53.48831648126533,275.0,337.03857346007146
16,free,0,Task1,10,10,-78.0,26.758176320519304,156.0,79.52358140828417,234.0,80.46117075956576,-4.0,347.33125399249633
16,free,1,Task2,10,10,-10.5,123.9243720984698,208.5,49.80210838910337,219.0,128.7400481590713,44.5,336.2993458215463
16,free,2,Task3,10,8,14.444444444444445,168.9418776523197,236.11111111111111,42.9326201919148,277.5,106.3308515906837,-241.0,207.15694533372516
17,free,0,Task1,9,9,109.44444444444444,175.72776363904552,102.22222222222223,25.178375985832577,-7.222222222222222,176.43240932926238,188.33333333333334,290.9180869821148
17,free,1,Task2,10,10,55.5,138.8065200197743,90.5,47.82520256099288,35.0,126.27351266199891,55.5,205.76017593305076
17,free,2,Task3,10,10,-27.5,89.16978187704622,121.0,77.2916554357584,148.5,110.43210583883656,188.0,207.2221030681814
18,free,0,Task1,10,10,71.5,198.17984256730048,67.5,109.4817336362555,-4.0,245.31408438978795,116.5,271.9379524818116
18,free,1,Task2,10,10,2.5,122.6835359777342,94.0,119.30632841555388,91.5,127.3979984144178,62.0,251.9841264841895
18,free,2,Task3,10,10,-75.0,27.65863337187866,98.5,98.21023368264633,173.5,106.11432514038809,211.5,309.19290095343393
19,free,0,Task1,10,9,-29.444444444444443,174.20365547326188,173.0,20.396078054371138,202.22222222222223,183.95517435734038,-261.5,226.91463152472122
19,free,1,Task2,10,10,5.5,144.26451400119157,181.0,43.23193264243457,175.5,154.97499798354573,1.5,327.49847327888415
19,free,2,Task3,10,10,-38.5,66.44734757685968,182.0,19.77371993328519,220.5,74.24452841792451,92.0,367.676488233882
20,free,0,Task1,10,9,3.5,141.61655976615165,299.44444444444446,110.08694655802357,332.22222222222223,70.20252888413917,-292.5,117.4148627729897
20,free,1,Task2,10,10,0.5,85.62855832022399,280.5,85.42394277952756,280.0,135.27749258468683,-153.5,237.3820759872152
20,free,2,Task3,10,10,-18.5,168.1970570491648,282.5,90.53314310240201,301.0,158.67892109539943,-48.5,349.67878116923254
22,free,0,Task1,10,8,-23.75,96.03872916693557,133.5,69.5,142.5,96.59839543180829,122.0,365.80869317171783
22,free,1,Task2,10,10,-18.5,91.32496920338927,37.5,71.63274390947201,56.0,134.86660075793412,141.5,287.7329491038522
22,free,2,Task3,10,10,-31.0,71.86097689288673,137.0,41.30375285612676,168.0,102.13226718329521,-5.0,268.65405264019375
23,free,0,Task1,10,10,-10.5,126.46046813134926,202.0,104.02403568406679,212.5,168.12569702457742,-197.5,317.20064627929116
23,free,1,Task2,10,10,-8.0,90.19977827023745,159.0,83.71977066380438,167.0,107.70793842609746,110.0,279.4369338509138
23,free,2,Task3,10,10,-65.0,41.83300132670378,189.0,63.82789358893179,254.0,89.8276126811795,-216.0,160.58953888718904
24,free,0,Task1,10,9,-76.66666666666667,57.34883511361751,126.5,61.727222519727874,208.33333333333334,100.36046144883065,165.0,299.0401310861136
24,free,1,Task2,10,9,-85.55555555555556,37.37530709234258,97.0,14.0,181.66666666666666,28.867513459481287,208.0,368.76957575157957
24,free,2,Task3,10,10,74.5,182.87222315048285,107.0,38.54867053479276,32.5,190.22683827472926,122.0,315.97626493140274
25,free,0,Task1,10,8,14.0,133.37541002748594,279.375,68.21095494860045,287.5,100.59199769365354,-124.5,291.70575928493423
25,free,1,Task2,10,10,-17.5,98.54567468945555,287.0,92.11948762341224,304.5,120.90181967199666,-146.0,200.84571192833567
25,free,2,Task3,10,8,25.0,190.18083499658948,289.0,110.06361796706484,301.875,235.84870017661746,-112.0,215.5365398256175
26,free,0,Task1,10,10,-81.5,25.79244075305786,160.5,92.45133855169432,242.0,89.72736483370053,78.5,305.8925464930455
